corp_code,year,account,cand_nm,cand_id,cand_value,is_pick
00557933,2019,매출채권,매출채권,dart_ShortTermTradeReceivable,16748425961,1
00186799,2022,매출액,매출액,ifrs-full_Revenue,322331646673,1
00186799,2022,매출원가,매출원가,ifrs-full_CostOfSales,293015893520,1
00186799,2022,매출총이익,매출총이익,ifrs-full_GrossProfit,29315753153,1
00186799,2022,영업이익,영업이익(손실),dart_OperatingIncomeLoss,5077214615,1
00186799,2022,재고자산,재고자산,ifrs-full_Inventories,113367585016,1
00186799,2022,매출채권,매출채권 및 기타채권,ifrs-full_TradeAndOtherCurrentReceivables,147594373781,1
00198378,2017,매출액,매출액,ifrs_Revenue,11908636959,1
00198378,2017,매출원가,매출원가,ifrs_CostOfSales,7034017350,1
00198378,2017,매출원가,제품매출원가,-표준계정코드 미사용-,7034017350,0
00198378,2017,매출총이익,매출총이익,ifrs_GrossProfit,4874619609,1
00198378,2017,영업이익,영업이익(손실),dart_OperatingIncomeLoss,1679011406,1
00198378,2017,영업이익,계속영업이익(손실),ifrs_ProfitLossFromContinuingOperations,1333289310,0
00198378,2017,영업이익,중단영업이익(손실),ifrs_ProfitLossFromDiscontinuedOperations,,0
00198378,2017,재고자산,재고자산,ifrs_Inventories,670882379,1
00198378,2017,매출채권,매출채권 및 기타유동채권,ifrs_TradeAndOtherCurrentReceivables,1332154608,1
00201742,2022,매출액,매출액,ifrs-full_Revenue,178913757521,1
00201742,2022,매출원가,매출원가,ifrs-full_CostOfSales,167584861228,1
00201742,2022,매출총이익,매출총이익,ifrs-full_GrossProfit,11328896293,1
00201742,2022,영업이익,영업이익(손실),dart_OperatingIncomeLoss,1208404078,1
00201742,2022,재고자산,재고자산,ifrs-full_Inventories,14308998878,1
00201742,2022,매출채권,매출채권,dart_ShortTermTradeReceivable,19066891256,1
00125488,2017,매출액,매출액,ifrs_Revenue,40646307987,1
00125488,2017,매출액,제품매출액,ifrs_RevenueFromSaleOfGoods,37541218249,0
00125488,2017,매출액,상품매출액,-표준계정코드 미사용-,0,0
00125488,2017,매출액,임대매출액,-표준계정코드 미사용-,3105089738,0
00125488,2017,매출원가,매출원가,ifrs_CostOfSales,33491823087,1
00125488,2017,매출원가,제품매출원가,dart_CostOfSalesFromSaleOfGoods,32731690113,0
00125488,2017,매출원가,상품매출원가,-표준계정코드 미사용-,0,0
00125488,2017,매출총이익,매출총이익,ifrs_GrossProfit,7154484900,1
00125488,2017,영업이익,영업이익(손실),dart_OperatingIncomeLoss,5147342625,1
00125488,2017,재고자산,재고자산,ifrs_Inventories,3514294378,1
00125488,2017,매출채권,매출채권,-표준계정코드 미사용-,7160141170,1
00133858,2018,매출액,매출액,ifrs_Revenue,1108228132369,1
00133858,2018,매출액,제품매출액,dart_RevenueFromSaleOfGoodsProduct,1091244264411,0
00133858,2018,매출액,상품매출액,dart_RevenueFromSaleOfGoodsMerchandise,16983867958,0
00133858,2018,매출원가,매출원가,ifrs_CostOfSales,940133094365,1
00133858,2018,매출원가,재화의 판매로 인한 매출원가,dart_CostOfSalesFromSaleOfGoods,940133094365,0
00133858,2018,매출원가,제품매출원가,dart_CostOfSalesFromSaleOfGoodsProduct,925064762030,0
00133858,2018,매출원가,상품매출원가,dart_CostOfSalesFromSaleOfGoodsMerchandises,15068332335,0
00133858,2018,매출총이익,매출총이익,ifrs_GrossProfit,168095038004,1
00133858,2018,영업이익,영업이익(손실),dart_OperatingIncomeLoss,69021895876,1
00133858,2018,영업이익,계속영업이익(손실),ifrs_ProfitLossFromContinuingOperations,66425641386,0
00133858,2018,영업이익,중단영업이익(손실),ifrs_ProfitLossFromDiscontinuedOperations,0,0
00133858,2018,재고자산,재고자산,ifrs_Inventories,148391094959,1
00133858,2018,매출채권,매출채권 및 기타유동채권,ifrs_TradeAndOtherCurrentReceivables,232997585055,1
00185505,2021,매출액,수익(매출액),ifrs-full_Revenue,18999122711,1
00185505,2021,매출원가,매출원가,ifrs-full_CostOfSales,15212043493,1
00185505,2021,매출총이익,매출총이익,ifrs-full_GrossProfit,3787079218,1
00185505,2021,영업이익,영업이익(손실),dart_OperatingIncomeLoss,-487622711,1
